Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Run Cadence,Training Stress ScoreÂ®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp
Running,1/25/2020 7:49,FALSE,Escondido Running,11.02,"1,249",1:39:58,148,167,4.2,172,180,9:04,7:45,331,322,1.03,0,0,--,0,0,0,1:39:58,0:00,51.8,0:00,No,00:08.5,12,0,--,--,--
Running,1/23/2020 19:23,FALSE,Santee Running,5.01,562,0:45:46,140,163,3.3,169,178,9:08,7:53,108,69,1.04,0,0,--,0,0,0,45:46:00,0:00,60.8,0:00,No,00:04.1,6,0,--,--,--
Running,1/22/2020 17:48,FALSE,Running,4.12,540,0:40:19,149,172,3.7,167,180,9:48,7:59,--,7,0.98,0,0,--,0,0,0,40:19:00,0:00,75.2,0:00,No,00:59.8,5,0,--,--,--
Elliptical,1/21/2020 15:36,FALSE,Elliptical,0,306,0:32:07,125,152,2.4,23,126,--,--,--,--,0,0,0,--,0,0,0,32:07:00,0:00,78.8,0:00,No,00:00.0,1,0,--,--,--
Running,1/20/2020 9:16,FALSE,El Cajon Running,5.1,502,0:40:33,144,162,3.5,175,190,7:57,6:47,85,102,1.16,0,0,--,0,0,0,40:33:00,0:00,60.8,0:00,No,00:43.6,6,0,--,--,--
Running,1/18/2020 7:29,FALSE,San Diego Running,13.14,"1,432",2:11:55,142,168,3.9,167,196,10:03,7:41,676,659,0.96,0,0,--,0,0,0,2:11:55,0:00,44.6,0:00,No,01:11.6,14,0,--,--,--
Elliptical,1/17/2020 14:26,FALSE,Elliptical,0,192,0:25:19,112,135,1,111,134,--,--,--,--,0,0,0,--,0,0,0,25:19:00,0:00,80.6,0:00,No,00:00.0,1,0,--,--,--
Running,1/16/2020 15:30,FALSE,Running,4.05,526,0:46:11,136,149,3,160,176,11:24,10:23,3,7,0.88,0,0,--,0,0,0,46:11:00,0:00,78.8,0:00,No,01:02.3,5,0,--,--,--
Elliptical,1/15/2020 15:21,FALSE,Elliptical,0,651,1:00:19,136,163,3.2,89,140,--,--,--,--,0,0,0,--,0,0,0,1:00:19,0:00,78.8,0:00,No,00:00.0,1,0,--,--,--
Running,1/14/2020 14:59,FALSE,San Diego Running,4.04,504,0:43:22,142,159,3.3,164,178,10:43,8:39,10,3,0.92,0,0,--,0,0,0,43:22:00,0:00,77,0:00,No,00:28.7,5,0,--,--,--
